Date,Fuel Price($/gal),Year,Month
2021-01-15,2.42,2021,1
2021-02-15,2.587,2021,2
2021-03-15,2.898,2021,3
2021-04-15,2.948,2021,4
2021-05-15,3.076,2021,5
2021-06-15,3.157,2021,6
2021-07-15,3.231,2021,7
2021-08-15,3.255,2021,8
2021-09-15,3.272,2021,9
2021-10-15,3.384,2021,10
2021-11-15,3.491,2021,11
2021-12-15,3.406,2021,12
2022-01-15,3.413,2022,1
2022-02-15,3.611,2022,2
2022-03-15,4.322,2022,3
2022-04-15,4.213,2022,4
2022-05-15,4.545,2022,5
2022-06-15,5.032,2022,6
2022-07-15,4.668,2022,7
2022-08-15,4.087,2022,8
2022-09-15,3.817,2022,9
2022-10-15,3.935,2022,10
2022-11-15,3.799,2022,11
2022-12-15,3.324,2022,12
2023-01-15,3.445,2023,1
2023-02-15,3.501,2023,2
2023-03-15,3.535,2023,3
2023-04-15,3.711,2023,4
2023-05-15,3.666,2023,5
2023-06-15,3.684,2023,6
2023-07-15,3.712,2023,7
2023-08-15,3.954,2023,8
2023-09-15,3.958,2023,9
2023-10-15,3.742,2023,10
2023-11-15,3.443,2023,11
2023-12-15,3.257,2023,12
2024-01-15,3.197,2024,1
2024-02-15,3.328,2024,2
2024-03-15,3.542,2024,3
2024-04-15,3.733,2024,4
2024-05-15,3.725,2024,5
2024-06-15,3.576,2024,6
2024-07-15,3.6,2024,7
2024-08-15,3.507,2024,8
2024-09-15,3.338,2024,9
2024-10-15,3.261,2024,10
2024-11-15,3.175,2024,11
2024-12-15,3.139,2024,12
2025-01-15,3.196,2025,1
2025-02-15,3.247,2025,2
2025-03-15,3.223,2025,3
2025-04-15,3.299,2025,4
